"Classement ""Plus-Value"" (2021)",Établissement,Département,Moyenne du Lycée au BAC (2019),Classement Parcoursup (2019),Classement L'étudiant (2021),Différence
1,Lycée Notre-Dame De Grace,59,12.09,123,60,63
2,Lycée Dumont d'Urville,83,14.12,100,55,45
3,Lycée Emmanuel d'Alzon,30,12.61,121,77,44
4,Lycée Vaugelas,73,13.63,111,70,41
5,Lycée Claude Fauriel,42,14.53,85,46,39
6,Lycée CAMILLE VERNET,26,14.06,102,65,37
7,Lycée Paul Valery,75,13.16,118,84,34
8,Lycée Francois Ier,77,14.7,77,49,28
9,Lycée F Philibert Dessaignes,41,13.42,115,87,28
10,Lycée Marceau,28,14.21,95,68,27
11,Lycée Berthollet,74,15.23,61,38,23
12,Lycée Michelet,92,16.26,31,8,23
13,Lycée Pierre-Gilles de Gennes - ENCPB,75,13.49,112,89,23
14,Lycée Sainte Marie Grand Lebrun,33,13.92,106,85,21
15,Lycée du Parc des Loges,91,13.37,116,96,20
16,Lycée Fénelon Sainte-Marie,75,15.45,54,34,20
17,Lycée Buffon,75,14.57,83,64,19
18,Lycée Pothier,45,14.69,79,61,18
19,Lycée Jacques Decour,75,14.23,94,76,18
20,Lycée Camille Guérin,86,14.87,71,54,17
21,Lycée Ferdinand Foch,12,14.85,73,56,17
22,Lycée Malherbe,14,15.42,56,40,16
23,Lycée Jean Dautet,17,14.14,98,82,16
24,Lycée Chrestien de Troyes,10,14.65,82,66,16
25,Lycée International de Valbonne,6,15.41,57,42,15
26,Lycée Camille Pissarro,95,13.89,107,94,13
27,Lycée Alain René Lesage,56,14.02,104,92,12
28,Lycée Carnot,21,15.76,43,31,12
29,Lycée Marcelin Berthelot,94,16.35,29,18,11
30,Lycée Charlemagne,75,16.45,24,13,11
31,Lycée La Borde Basse,81,16.48,23,12,11
32,Lycée Notre Dame De Sion,13,13.48,113,103,10
33,Lycée Louis Pasteur,92,16.57,20,10,10
34,Lycée Notre Dame De La Merci,34,14.24,93,83,10
35,Lycée Chaptal,75,15.74,44,35,9
36,Lycée Albert Schweitzer,93,14.95,68,59,9
37,Lycée La Martiniere Monplaisir,69,16.32,30,21,9
38,Lycée Jean Moulin,57,14.45,86,78,8
39,Lycée CLEMENCEAU,51,15.4,58,50,8
40,Lycée Robespierre,62,14.09,101,93,8
41,Lycée La Fayette,63,14.69,80,72,8
42,Lycée Pierre d'Ailly,60,14.77,75,67,8
43,Lycée Albert Schweitzer,68,14.95,67,59,8
44,Lycée Sainte Marie,92,15.56,50,43,7
45,Lycée Victor Grignard,50,15.05,64,57,7
46,Lycée Saint Exupéry,78,13.82,108,101,7
47,Lycée Montaigne,33,16.41,26,19,7
48,Lycée Henri IV,75,16.76,13,6,7
49,Lycée Louis Le Grand,75,16.83,8,2,6
50,Lycée Paul Cezanne,13,15.93,36,30,6
51,Lycée Jean Baptiste Corot,91,14.81,74,69,5
52,Lycée La Pérouse - Kerichen,29,15.63,48,44,4
53,Lycée Godefroy De Bouillon,63,14.05,103,99,4
54,Lycée Janson De Sailly,75,16.37,27,24,3
55,Lycée Sainte Anne,29,13.26,117,114,3
56,Lycée Pierre Corneille,76,16.57,19,16,3
57,Lycée Fénelon,75,15.92,37,34,3
58,Lycée Victor Hugo,25,15.31,59,58,1
59,Lycée Champollion,38,16.56,21,20,1
60,Lycée Alphonse DAUDET,30,15.58,49,48,1
61,Lycée Sainte Geneviève,78,16.99,2,1,1
62,Lycée Stanislas,75,16.89,5,4,1
63,Lycée Thiers,13,15.81,40,41,-1
64,Lycée Pierre De Fermat,31,16.79,10,11,-1
65,Lycée Camille Jullian,33,15.67,46,47,-1
66,Lycée Alain-Fournier,18,14.0,105,107,-2
67,Lycée BELLEVUE,31,16.2,33,36,-3
68,Lycée Aux Lazaristes,69,17.0,1,5,-4
69,Lycée du Parc,69,16.91,3,7,-4
70,Lycée Hoche,78,16.89,4,9,-5
71,Lycée Lakanal,92,15.64,47,52,-5
72,Lycée Mariette,62,14.14,99,105,-6
73,Lycée Masséna,6,16.62,17,23,-6
74,Lycée Kléber,67,16.41,25,32,-7
75,Lycée Faidherbe,59,16.73,14,22,-8
76,Lycée général Clemenceau,44,16.83,9,17,-8
77,Lycée Saint-Louis (6ème),75,16.85,6,14,-8
78,Lycée Condorcet,75,16.62,18,26,-8
79,Lycée Louis Thuillier,80,15.03,65,74,-9
80,Lycée Descartes,37,16.36,28,37,-9
81,Lycée Montesquieu,72,14.89,70,79,-9
82,Lycée François Arago,66,14.33,90,100,-10
83,Lycée Francois René De Chateaubriand,35,16.68,15,25,-10
84,Lycée Jean Bart,59,14.71,76,88,-12
85,Lycée Claude Bernard,75,14.16,97,110,-13
86,Lycée Henri Wallon,59,16.23,32,45,-13
87,Lycée Joffre,34,16.62,16,29,-13
88,Lycée Jeanne D'Albret,78,14.7,78,91,-13
89,Lycée François 1er,76,14.29,92,108,-16
90,Lycée Fabert,57,16.11,34,51,-17
91,Lycée Lalande,1,14.33,89,106,-17
92,Lycée Jacques Amyot,77,14.69,81,98,-17
93,Lycée Claude Gellee,88,14.9,69,86,-17
94,Lycée Jean Perrin,69,15.46,53,71,-18
95,Lycée Blaise Pascal,91,16.79,12,33,-21
96,Lycée Henri Poincaré,54,16.83,7,28,-21
97,Lycée Albert Chatelet,59,15.77,41,63,-22
98,LGT Saint-Stanislas,44,15.9,38,62,-24
99,Lycée Saint Rémi,59,14.38,87,113,-26
100,Lycée Louis Barthou,64,15.13,63,90,-27
101,Lycée Dupuy De Lôme,56,14.96,66,102,-36
102,Lycée Gay-Lussac,87,15.96,35,73,-38
103,Lycée Leconte de Lisle,974,15.76,42,95,-53
104,Lycée Militaire Prytanee National,72,15.43,55,112,-57
